Account_Num,Provider_Num,City,Hosp_Name,Hosp_Address,Score,Acct_Name_Lookup,Reimbursement_Name_Lookup
94349,513673,1,1.0,1.0,3.0,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD_6245 DE LONGPRE AVE_HOLLYWOOD_CA,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD_6245 DE LONGPRE AVE_HOLLYWOOD_CA
94315,576822,1,1.0,1.0,3.0,UPMC MCKEESPORT_1500 FIFTH AVENUE_MC KEESPORT_PA,UPMC MCKEESPORT_1500 FIFTH AVENUE_MC KEESPORT_PA
94307,399363,1,1.0,1.0,3.0,MEMORIAL HERMANN KATY HOSPITAL_23900 KATY FREEWAY_KATY_TX,MEMORIAL HERMANN KATY HOSPITAL_23900 KATY FREEWAY_KATY_TX
94294,453933,1,0.0,1.0,2.0,MERCYHEALTH HOSPITAL ROCKTON AVENUE_2400 NORTH ROCKTON AVENUE_ROCKFORD_IL,ROCKFORD MEMORIAL HOSPITAL_2400 NORTH ROCKTON AVENUE_ROCKFORD_IL
94271,799855,1,1.0,1.0,3.0,ST LUKE'S THE WOODLANDS HOSPITAL_17200 ST LUKE'S WAY_THE WOODLANDS_TX,ST LUKE'S THE WOODLANDS HOSPITAL_17200 ST LUKE'S WAY_THE WOODLANDS_TX
94228,260258,1,1.0,1.0,3.0,ADVENTIST BOLINGBROOK HOSPITAL_500 REMINGTON BOULEVARD_BOLINGBROOK_IL,ADVENTIST BOLINGBROOK HOSPITAL_500 REMINGTON BOULEVARD_BOLINGBROOK_IL
94188,111172,1,1.0,1.0,3.0,PENINSULA REGIONAL MEDICAL CENTER_100 EAST CARROLL AVENUE_SALISBURY_MD,PENINSULA REGIONAL MEDICAL CENTER_100 EAST CARROLL AVENUE_SALISBURY_MD
94110,782430,1,0.0,1.0,2.0,ST JOSEPH'S BEHAVIORAL HEALTH CENTER_2510 N  CALIFORNIA ST_STOCKTON_CA,ST JOSEPH'S MEDICAL CENTER OF STOCKTON_1800 N CALIFORNIA ST_STOCKTON_CA
94081,455810,1,1.0,1.0,3.0,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER_921 GESSNER_HOUSTON_TX,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER_921 GESSNER_HOUSTON_TX
94036,548413,1,1.0,1.0,3.0,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL_110 HOSPITAL DRIVE_JEFFERSON CITY_TN,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL_110 HOSPITAL DRIVE_JEFFERSON CITY_TN
94000,377018,1,1.0,1.0,3.0,CAYUGA MEDICAL CENTER AT ITHACA_101 DATES DRIVE_ITHACA_NY,CAYUGA MEDICAL CENTER AT ITHACA_101 DATES DRIVE_ITHACA_NY
93976,673064,1,0.0,1.0,2.0,L A DOWNTOWN MEDICAL CENTER_1711 WEST TEMPLE STREET_LOS ANGELES_CA,SILVER LAKE MEDICAL CENTER_1711 WEST TEMPLE STREET_LOS ANGELES_CA
93945,407907,1,1.0,1.0,3.0,SUTTER AUBURN FAITH HOSPITAL_11815 EDUCATION STREET_AUBURN_CA,SUTTER AUBURN FAITH HOSPITAL_11815 EDUCATION STREET_AUBURN_CA
93869,223696,1,0.0,1.0,2.0,CHENANGO MEMORIAL HOSPITAL_179 NORTH BROAD STREET_NORWICH_NY,"CHENANGO MEMORIAL HOSPITAL, INC_179 NORTH BROAD STREET_NORWICH_NY"
93850,386502,1,1.0,1.0,3.0,VALLEY VIEW MEDICAL CENTER_5330 SOUTH HIGHWAY 95_FORT MOHAVE_AZ,VALLEY VIEW MEDICAL CENTER_5330 SOUTH HIGHWAY 95_FORT MOHAVE_AZ
93833,735904,1,1.0,1.0,3.0,CANDLER HOSPITAL_5353 REYNOLDS STREET_SAVANNAH_GA,CANDLER HOSPITAL_5353 REYNOLDS STREET_SAVANNAH_GA
93765,657875,1,1.0,1.0,3.0,JOHNSON MEMORIAL HOSPITAL_201 CHESTNUT HILL ROAD_STAFFORD SPRINGS_CT,JOHNSON MEMORIAL HOSPITAL_201 CHESTNUT HILL ROAD_STAFFORD SPRINGS_CT
93761,577649,1,1.0,1.0,3.0,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC_1400 W 4TH ST_COFFEYVILLE_KS",COFFEYVILLE REGIONAL MEDICAL CENTER_1400 W 4TH ST_COFFEYVILLE_KS
93703,160530,1,1.0,1.0,3.0,PALI MOMI MEDICAL CENTER_98-1079 MOANALUA ROAD_AIEA_HI,PALI MOMI MEDICAL CENTER_98-1079 MOANALUA ROAD_AIEA_HI
93679,646798,1,1.0,1.0,3.0,DALLAS REGIONAL MEDICAL CENTER_1011 NORTH GALLOWAY AVENUE_MESQUITE_TX,DALLAS REGIONAL MEDICAL CENTER_1011 NORTH GALLOWAY AVENUE_MESQUITE_TX
93674,614628,1,1.0,1.0,3.0,REX HOSPITAL_4420 LAKE BOONE TRAIL_RALEIGH_NC,REX HOSPITAL_4420 LAKE BOONE TRAIL_RALEIGH_NC
93638,645064,1,1.0,0.0,2.0,ST ANTHONY COMMUNITY HOSPITAL_15 MAPLE AVENUE -19_WARWICK_NY,ST ANTHONY COMMUNITY HOSPITAL_15 - 19  MAPLE AVENUE_WARWICK_NY
93618,534463,1,1.0,1.0,3.0,ST LUKES HOSPITAL OF KANSAS CITY_4401 WORNALL ROAD_KANSAS CITY_MO,ST LUKES HOSPITAL OF KANSAS CITY_4401 WORNALL ROAD_KANSAS CITY_MO
93590,393428,1,1.0,1.0,3.0,PENN HIGHLANDS DUBOIS_100 HOSPITAL AVENUE_DUBOIS_PA,PENN HIGHLANDS DUBOIS_100 HOSPITAL AVENUE_DUBOIS_PA
93569,538437,1,1.0,1.0,3.0,ST VINCENT CHARITY MEDICAL CENTER_2351 EAST 22ND STREET_CLEVELAND_OH,ST VINCENT CHARITY MEDICAL CENTER_2351 EAST 22ND STREET_CLEVELAND_OH
93516,526765,1,1.0,1.0,3.0,CHRISTUS JASPER MEMORIAL HOSPITAL_1275 MARVIN HANCOCK DRIVE_JASPER_TX,CHRISTUS JASPER MEMORIAL HOSPITAL_1275 MARVIN HANCOCK DRIVE_JASPER_TX
93510,651409,1,1.0,1.0,3.0,"LEGACY GOOD SAMARITAN MEDICAL CENTER_1015 NW 22ND AVENUE, W121_PORTLAND_OR","LEGACY GOOD SAMARITAN MEDICAL CENTER_1015 NW 22ND AVENUE, W121_PORTLAND_OR"
93509,741506,1,1.0,1.0,3.0,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI_600 ELIZABETH STREET_CORPUS CHRISTI_TX,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI_600 ELIZABETH STREET_CORPUS CHRISTI_TX
93497,726277,1,1.0,1.0,3.0,BERKELEY MEDICAL CENTER_2500 HOSPITAL DRIVE_MARTINSBURG_WV,BERKELEY MEDICAL CENTER_2500 HOSPITAL DRIVE_MARTINSBURG_WV
93480,384796,1,1.0,0.0,2.0,INSPIRA MEDICAL CENTER ELMER_501 WEST FRONT STREET_ELMER_NJ,"INSPIRA MEDICAL CENTER ELMER_501 WEST FRONT STREET, POST OFFICE BOX  1090_ELMER_NJ"
93418,397580,1,1.0,1.0,3.0,CGH MEDICAL CENTER_100 EAST LEFEVRE ROAD_STERLING_IL,CGH MEDICAL CENTER_100 EAST LEFEVRE ROAD_STERLING_IL
93383,145182,1,1.0,1.0,3.0,COMMUNITY HOSPITAL INC_805 FRIENDSHIP ROAD_TALLASSEE_AL,COMMUNITY HOSPITAL INC_805 FRIENDSHIP ROAD_TALLASSEE_AL
93349,746612,1,1.0,1.0,3.0,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL_2525 S DOWNING ST_DENVER_CO,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL_2525 S DOWNING ST_DENVER_CO
93346,457316,1,1.0,1.0,3.0,MERCY MEDICAL CENTER_1320 MERCY DRIVE NW_CANTON_OH,MERCY MEDICAL CENTER_1320 MERCY DRIVE NW_CANTON_OH
93309,390629,1,1.0,1.0,3.0,MAINE MEDICAL CENTER_22 BRAMHALL ST_PORTLAND_ME,MAINE MEDICAL CENTER_22 BRAMHALL ST_PORTLAND_ME
93294,812357,1,1.0,1.0,3.0,CITIZENS BAPTIST MEDICAL CENTER_604 STONE AVENUE_TALLADEGA_AL,CITIZENS BAPTIST MEDICAL CENTER_604 STONE AVENUE_TALLADEGA_AL
93291,690396,1,1.0,1.0,3.0,BLESSING HOSPITAL_BROADWAY ST & N 11TH ST_QUINCY_IL,BLESSING HOSPITAL_BROADWAY AT 11TH STREET_QUINCY_IL
93258,725655,1,1.0,1.0,3.0,UHHS RICHMOND HEIGHTS HOSPITAL_27100 CHARDON ROAD_RICHMOND HEIGHTS_OH,UHHS RICHMOND HEIGHTS HOSPITAL_27100 CHARDON ROAD_RICHMOND HEIGHTS_OH
93243,770937,1,1.0,1.0,3.0,HARBORVIEW MEDICAL CENTER_325 9TH AVENUE_SEATTLE_WA,HARBORVIEW MEDICAL CENTER_325 9TH AVENUE_SEATTLE_WA
93231,506463,1,1.0,1.0,3.0,CLOVIS COMMUNITY MEDICAL CENTER_2755 HERNDON AVE_CLOVIS_CA,CLOVIS COMMUNITY MEDICAL CENTER_2755 HERNDON AVE_CLOVIS_CA
93192,695493,1,1.0,1.0,3.0,LEGACY SILVERTON MEDICAL CENTER_342 FAIRVIEW STREET_SILVERTON_OR,LEGACY SILVERTON MEDICAL CENTER_342 FAIRVIEW STREET_SILVERTON_OR
93190,481923,1,1.0,1.0,3.0,ALTON MEMORIAL HOSPITAL_ONE MEMORIAL DRIVE_ALTON_IL,ALTON MEMORIAL HOSPITAL_ONE MEMORIAL DRIVE_ALTON_IL
93145,690086,1,1.0,1.0,3.0,CHINESE HOSPITAL_845 JACKSON ST_SAN FRANCISCO_CA,CHINESE HOSPITAL_845 JACKSON ST_SAN FRANCISCO_CA
93119,323675,1,1.0,1.0,3.0,SALINA REGIONAL HEALTH CENTER_400 SOUTH SANTA FE AVENUE_SALINA_KS,SALINA REGIONAL HEALTH CENTER_400 SOUTH SANTA FE AVENUE_SALINA_KS
93110,464483,1,1.0,1.0,3.0,LANSDALE HOSPITAL_100 MEDICAL CAMPUS DRIVE_LANSDALE_PA,LANSDALE HOSPITAL_100 MEDICAL CAMPUS DRIVE_LANSDALE_PA
93054,404849,1,1.0,1.0,3.0,YUKON KUSKOKWIM DELTA REG HOSPITAL_PO BOX 287_BETHEL_AK,YUKON KUSKOKWIM DELTA REG HOSPITAL_PO BOX 287_BETHEL_AK
93047,621534,1,1.0,1.0,3.0,JOHNSON MEMORIAL HOSPITAL_1125 W JEFFERSON ST_FRANKLIN_IN,JOHNSON MEMORIAL HOSPITAL_1125 W JEFFERSON ST_FRANKLIN_IN
93041,610318,1,1.0,1.0,3.0,CHAMBERSBURG HOSPITAL_112 NORTH SEVENTH STREET_CHAMBERSBURG_PA,CHAMBERSBURG HOSPITAL_112 NORTH SEVENTH STREET_CHAMBERSBURG_PA
92982,423828,1,1.0,1.0,3.0,MERCY HOSPITAL JOPLIN_100 MERCY WAY_JOPLIN_MO,MERCY HOSPITAL JOPLIN_100 MERCY WAY_JOPLIN_MO
92977,585402,1,1.0,1.0,3.0,INOVA FAIR OAKS HOSPITAL_3600 JOSEPH SIEWICK DRIVE_FAIRFAX_VA,INOVA FAIR OAKS HOSPITAL_3600 JOSEPH SIEWICK DRIVE_FAIRFAX_VA
92967,501191,1,1.0,1.0,3.0,SAINT BARNABAS MEDICAL CENTER_94 OLD SHORT HILLS ROAD_LIVINGSTON_NJ,SAINT BARNABAS MEDICAL CENTER_94 OLD SHORT HILLS ROAD_LIVINGSTON_NJ
92863,470583,1,1.0,1.0,3.0,CHI HEALTH MERCY COUNCIL BLUFFS_800 MERCY DRIVE_COUNCIL BLUFFS_IA,CHI HEALTH MERCY COUNCIL BLUFFS_800 MERCY DRIVE_COUNCIL BLUFFS_IA
92757,767492,1,1.0,1.0,3.0,PARKLAND MEDICAL CENTER_1 PARKLAND DRIVE_DERRY_NH,PARKLAND MEDICAL CENTER_1 PARKLAND DRIVE_DERRY_NH
92704,502478,1,1.0,1.0,3.0,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS_2540 EAST ST_CONCORD_CA,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS_2540 EAST ST_CONCORD_CA
92681,624203,1,1.0,1.0,3.0,HENRY FORD WEST BLOOMFIELD HOSPITAL_6777 WEST MAPLE ROAD_WEST BLOOMFIELD_MI,HENRY FORD WEST BLOOMFIELD HOSPITAL_6777 WEST MAPLE ROAD_WEST BLOOMFIELD_MI
92635,307135,1,1.0,1.0,3.0,GOOD SAMARITAN HOSPITAL_375 DIXMYTH AVENUE_CINCINNATI_OH,GOOD SAMARITAN HOSPITAL_375 DIXMYTH AVENUE_CINCINNATI_OH
92626,236626,1,1.0,1.0,3.0,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL_5165 MCCARTY LN_LAFAYETTE_IN,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL_5165 MCCARTY LN_LAFAYETTE_IN
92613,321424,1,0.0,1.0,2.0,ASTRIA REGIONAL MEDICAL CENTER_110 SOUTH NINTH AVE_YAKIMA_WA,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER_110 SOUTH NINTH AVE_YAKIMA_WA
92565,496838,1,1.0,1.0,3.0,RANDOLPH HOSPITAL_364 WHITE OAK STREET_ASHEBORO_NC,RANDOLPH HOSPITAL_364 WHITE OAK STREET_ASHEBORO_NC
92530,403862,1,1.0,1.0,3.0,BRONX-LEBANON HOSPITAL CENTER_1276 FULTON AVENUE_BRONX_NY,BRONX-LEBANON HOSPITAL CENTER_1276 FULTON AVENUE_BRONX_NY
92519,638698,1,1.0,1.0,3.0,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL_1980 CROMPOND ROAD_CORTLANDT MANOR_NY,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL_1980 CROMPOND ROAD_CORTLANDT MANOR_NY
92514,218916,1,1.0,1.0,3.0,"UNITED HEALTH SERVICES HOSPITALS, INC_10-42 MITCHELL AVENUE_BINGHAMTON_NY","UNITED HEALTH SERVICES HOSPITALS, INC_10-42 MITCHELL AVENUE_BINGHAMTON_NY"
92513,101905,1,1.0,1.0,3.0,BANNER DESERT MEDICAL CENTER_1400 SOUTH  DOBSON ROAD_MESA_AZ,BANNER DESERT MEDICAL CENTER_1400 SOUTH  DOBSON ROAD_MESA_AZ
92502,210341,1,1.0,1.0,3.0,WEST HILLS HOSPITAL & MEDICAL CENTER_7300 MEDICAL CENTER DR_WEST HILLS_CA,WEST HILLS HOSPITAL & MEDICAL CENTER_7300 MEDICAL CENTER DR_WEST HILLS_CA
92460,541654,1,1.0,1.0,3.0,SARAH BUSH LINCOLN HEALTH CENTER_1000 HEALTH CENTER DRIVE P O BOX 372_MATTOON_IL,SARAH BUSH LINCOLN HEALTH CENTER_1000 HEALTH CENTER DRIVE P O BOX 372_MATTOON_IL
92451,334826,1,1.0,1.0,3.0,BERWICK HOSPITAL CENTER_701 EAST 16TH STREET_BERWICK_PA,BERWICK HOSPITAL CENTER_701 EAST 16TH STREET_BERWICK_PA
92417,363668,1,1.0,1.0,3.0,ST MARKS MEDICAL CENTER_ONE ST MARK'S PLACE_LA GRANGE_TX,ST MARKS MEDICAL CENTER_ONE ST MARK'S PLACE_LA GRANGE_TX
92281,501763,1,1.0,1.0,3.0,JEWISH HOSPITAL - SHELBYVILLE_727 HOSPITAL DRIVE_SHELBYVILLE_KY,JEWISH HOSPITAL - SHELBYVILLE_727 HOSPITAL DRIVE_SHELBYVILLE_KY
92259,616835,1,1.0,1.0,3.0,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM_148 CHESTNUT STREET_NEEDHAM_MA,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM_148 CHESTNUT STREET_NEEDHAM_MA
92161,169337,1,0.0,1.0,2.0,EMORY HILLANDALE HOSPITAL_2801 DEKALB MEDICAL PARKWAY_LITHONIA_GA,DEKALB MEDICAL CENTER AT HILLANDALE_2801 DEKALB MEDICAL PARKWAY_LITHONIA_GA
92155,868776,1,1.0,1.0,3.0,SAINT THOMAS HIGHLANDS HOSPITAL_401 SEWELL DR_SPARTA_TN,SAINT THOMAS HIGHLANDS HOSPITAL_401 SEWELL DR_SPARTA_TN
92147,899241,1,1.0,1.0,3.0,"CHRISTIANA CARE HEALTH SERVICES, INC._4755 OGLETOWN-STANTON ROAD_NEWARK_DE","CHRISTIANA CARE HEALTH SERVICES, INC._4755 OGLETOWN-STANTON ROAD_NEWARK_DE"
92118,886704,1,1.0,1.0,3.0,EVERGREENHEALTH MEDICAL CENTER_12040 NE 128TH STREET_KIRKLAND_WA,EVERGREENHEALTH MEDICAL CENTER_12040 NE 128TH STREET_KIRKLAND_WA
91980,195150,1,1.0,1.0,3.0,PALESTINE REGIONAL MEDICAL CENTER_2900 S LOOP 256_PALESTINE_TX,PALESTINE REGIONAL MEDICAL CENTER_2900 S LOOP 256_PALESTINE_TX
91971,637548,1,0.0,1.0,2.0,KINGSBORO PSYCHIATRIC HOSPITAL_681 CLARKSON AVENUE_BROOKLYN_NY,KINGS COUNTY HOSPITAL CENTER_451 CLARKSON AVENUE_BROOKLYN_NY
91929,690965,1,1.0,1.0,3.0,ST JOHNS REGIONAL MEDICAL CENTER_1600 N ROSE AVE_OXNARD_CA,ST JOHNS REGIONAL MEDICAL CENTER_1600 N ROSE AVE_OXNARD_CA
91894,551959,1,1.0,1.0,3.0,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON_41 & 45 MALL ROAD_BURLINGTON_MA","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON_41 & 45 MALL ROAD_BURLINGTON_MA"
91870,103262,1,0.0,1.0,2.0,LAFAYETTE SURGICAL SPECIALTY HOSPITAL_1101 KALISTE SALOOM RD_LAFAYETTE_LA,HEART HOSPITAL OF LAFAYETTE_1105 KALISTE SALOOM ROAD_LAFAYETTE_LA
91868,441003,1,1.0,1.0,3.0,EMANUEL MEDICAL CENTER_825 DELBON AVE_TURLOCK_CA,EMANUEL MEDICAL CENTER_825 DELBON AVE_TURLOCK_CA
91860,454617,1,1.0,1.0,3.0,JORDAN VALLEY MEDICAL CENTER_3580 WEST 9000 SOUTH_WEST JORDAN_UT,JORDAN VALLEY MEDICAL CENTER_3580 WEST 9000 SOUTH_WEST JORDAN_UT
91848,214353,1,1.0,1.0,3.0,HARMON MEMORIAL HOSPITAL_400 EAST CHESTNUT STREET_HOLLIS_OK,HARMON MEMORIAL HOSPITAL_400 EAST CHESTNUT STREET_HOLLIS_OK
91844,844842,1,1.0,1.0,3.0,CENTURA HEALTH-ST THOMAS MORE HOSPITAL_1338 PHAY AVENUE_CANON CITY_CO,CENTURA HEALTH-ST THOMAS MORE HOSPITAL_1338 PHAY AVE_CANON CITY_CO
91814,358733,1,0.0,1.0,2.0,MOUNT SINAI BETH ISRAEL_FIRST AVENUE AT 16TH STREET_NEW YORK_NY,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS_FIRST AVENUE AT 16TH STREET_NEW YORK_NY
91785,156683,1,1.0,1.0,3.0,EXCELA HEALTH FRICK HOSPITAL_508 SOUTH CHURCH STREET_MOUNT PLEASANT_PA,EXCELA HEALTH FRICK HOSPITAL_508 SOUTH CHURCH STREET_MOUNT PLEASANT_PA
91778,588105,1,1.0,1.0,3.0,ST JOSEPH MERCY CHELSEA_775 S MAIN ST_CHELSEA_MI,ST JOSEPH MERCY CHELSEA_775 S MAIN ST_CHELSEA_MI
91761,626440,1,1.0,1.0,3.0,SACRED HEART MEDICAL CENTER - RIVERBEND_3333 RIVERBEND DRIVE_SPRINGFIELD_OR,SACRED HEART MEDICAL CENTER - RIVERBEND_3333 RIVERBEND DRIVE_SPRINGFIELD_OR
91735,586139,1,1.0,1.0,3.0,BAYSTATE MEDICAL CENTER_759 CHESTNUT STREET_SPRINGFIELD_MA,BAYSTATE MEDICAL CENTER_759 CHESTNUT STREET_SPRINGFIELD_MA
91729,784415,1,1.0,1.0,3.0,UPMC BEDFORD MEMORIAL_10455 LINCOLN HIGHWAY_EVERETT_PA,UPMC BEDFORD MEMORIAL_10455 LINCOLN HIGHWAY_EVERETT_PA
91657,813455,1,1.0,1.0,3.0,BROOKDALE HOSPITAL MEDICAL CENTER_1 BROOKDALE PLAZA_BROOKLYN_NY,BROOKDALE HOSPITAL MEDICAL CENTER_1 BROOKDALE PLAZA_BROOKLYN_NY
91651,688441,1,1.0,1.0,3.0,LAKEVIEW MEMORIAL HOSPITAL_927 WEST CHURCHILL STREET_STILLWATER_MN,LAKEVIEW MEMORIAL HOSPITAL_927 WEST CHURCHILL STREET_STILLWATER_MN
