,best_match_score,Facility Name,Provider Name,Address,Provider Street Address,Provider City,City,Provider State,State
57535,-1.8227213736351,88th Medical Group (Wright-Patterson AFB),GENESIS HOSPITAL,88 MDG 4881 Sugar Maple Dr.,2951 MAPLE AVENUE,ZANESVILLE,Wright-Patterson AFB,OH,OH
168891,-1.7711337331026684,HOSPITAL MENONITA DE CAYEY,THE MCDOWELL HOSPITAL,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,430 RANKIN DRIVE P O BOX 730,MARION,CAYEY,NC,PR
82709,-1.7690309717215151,DHHS USPHS INDIAN HEALTH SERVICES,FAITH REGIONAL HEALTH SERVICES,EXIT #102 OFF I-40 1/2 MILE SOUTH,2700 WEST NORFOLK AVE,NORFOLK,SAN FIDEL,NE,NM
169221,-1.7620060945825136,HOSPITAL METROPOLITANO DE LA MONTANA,LA PORTE HOSPITAL,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,1007 LINCOLNWAY,LA PORTE,BDA NUEVA,IN,PR
467187,-1.7501808476831742,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BAPTIST EASLEY HOSPITAL,PO BOX 160,PO BOX 2129,EASLEY,BELCOURT,SC,ND
413156,-1.7367444612341414,BELLA VISTA HOSPITAL,ALTA VISTA REGIONAL HOSPITAL,CARR 349 KM 2 7 CERRO LAS MESAS,104 LEGION DRIVE,LAS VEGAS,MAYAGUEZ,NM,PR
254775,-1.7312017046219161,673rd Medical Group (Joint Base Elmendorf-Richardson),MERCY HOSPITAL AND MEDICAL CENTER,673 MDG 5955 Zeamer Ave,2525 S MICHIGAN AVE,CHICAGO,JBER,IL,AK
306268,-1.722200651138526,HOSPITAL PAVIA SANTURCE,MAGNOLIA HOSPITAL,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,101 HOSPITAL DRIVE,MAGNOLIA,FERNANDEZ JUNCOS,AR,PR
44840,-1.7132446572842346,HOSPITAL DE LA CONCEPCION,TAYLOR REGIONAL HOSPITAL,ROAD NUMBER 2 KM 173.4 CAIN ALTO,1700 OLD LEBANON ROAD,CAMPBELLSVILLE,SAN GERMAN,KY,PR
246495,-1.7043719465160028,SAN JUAN CAPESTRANO  HOSPITAL INC,SAN JUAN REGIONAL MEDICAL CENTER,CARR 877 KM 1 6 CAMINO LAS LOMAS RR2,801 WEST MAPLE STREET,FARMINGTON,RIO PIEDRAS,NM,PR
195314,-1.6788409641627802,CENTRO CARDIOVASCULAR,VAL VERDE REGIONAL MEDICAL CENTER,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",801 BEDELL AVE,DEL RIO,RIO PIEDRAS,TX,PR
388637,-1.6647663109058226,RJ BLACKLEY ALCOHOL AND DRUG ABUSE TREATMENT CTR,PARK RIDGE HEALTH,"BLDG 29, 30 BARRETT BLDG, 100 H STREET",100 HOSPITAL DRIVE,HENDERSONVILLE,BUTNER,NC,NC
380917,-1.6635524946152813,HOSPITAL PSIQUIATRICO METROPOLITANO CABO ROJO,BRIDGEPORT HOSPITAL,108 MUNOZ RIVERA STREET,267 GRANT STREET,BRIDGEPORT,BO BALLAJA,CT,PR
506854,-1.6492119143363444,"HOSPITAL UPR, DR  FEDERICO TRILLA",CENTRAL IOWA HEALTHCARE,CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,3 S 4TH AVE,MARSHALLTOWN,CAROLINA,IA,PR
450121,-1.6207772140055334,JULIAN F KEITH ALCOHOL & DRUG ABUSE TX,BRANDYWINE HOSPITAL,201 TABERNACLE ROAD,201 REECEVILLE ROAD,COATESVILLE,BLACK MOUNTAIN,PA,NC
294755,-1.6203176616376076,99th Medical Group (Nellis AFB),UNIVERSITY MEDICAL CENTER,99 MDG 4700 Las Vegas Blvd,1800 W CHARLESTON BLVD,LAS VEGAS,Nellis AFB,NV,NV
275021,-1.6194142422698505,MANATI MEDICAL CENTER DR OTERO LOPEZ,TROY REGIONAL MEDICAL CENTER,CALLE HERNANDEZ CARRION URB ATENAS,1330 HIGHWAY 231 SOUTH,TROY,MANATI,AL,PR
203821,-1.6006169998809756,HOSPITAL MENONITA CAGUAS INC,ST JOSEPH HOSPITAL,CARR 172  EXIT 21 URB TURABO GARDENS,172 KINSLEY ST,NASHUA,CAGUAS,NH,PR
65939,-1.5915301139072724,INSPIRA BEHAVIOR CARE CORP,UNIVERSITY OF MISSOURI HEALTH CARE,CALLE GUADALUPE 184 (ANTIGUO HOSPITAL SAN LUCAS),ONE HOSPITAL DRIVE,COLUMBIA,PONCE,MO,PR
7833,-1.5874813711474627,AUXILIO MUTUO HOSPITAL,MT SINAI HOSPITAL MEDICAL CENTER,PONCE DE LEON AVENUE STOP 37 1/2,15TH STREET AT CALIFORNIA,CHICAGO,HATO REY,IL,PR
337582,-1.569507328323556,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,TROY REGIONAL MEDICAL CENTER,CARR 2 BO SABALOS,1330 HIGHWAY 231 SOUTH,TROY,MAYAGUEZ,AL,PR
461672,-1.5655310350819676,HOSPITAL UNIVERSITARIO DE ADULTO,MAGNOLIA HOSPITAL,BARRIO MONACILLOS CENTROMEDICO,101 HOSPITAL DRIVE,MAGNOLIA,RIO PIEDRAS,AR,PR
461743,-1.5611954025951256,SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,GLENDALE MEM HOSPITAL & HLTH CENTER,5454 YORKTOWNE DRIVE,1420 S CENTRAL AVE,GLENDALE,COLLEGE PARK,CA,GA
111282,-1.5583678138711137,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,SAN JUAN REGIONAL MEDICAL CENTER,"#4007 EST DIAMOND RUBY, CHRISTIANSTED",801 WEST MAPLE STREET,FARMINGTON,ST CROIX,NM,VI
9856,-1.555615509210784,HOSPITAL MENONITA GUAYAMA,WASHINGTON HOSPITAL,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,2000 MOWRY AVE,FREMONT,GUAYAMA,CA,PR
333743,-1.539454040876388,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,PRAIRIE LAKES HOSPITAL,"760 HOSPITAL CIRCLE, POST OFFICE BOX 760",401 9TH AVENUE NW  POST OFFICE BOX 1210,WATERTOWN,BROWNING,SD,MT
5661,-1.5123684546714926,81st Medical Group (Keesler AFB),ST VINCENT'S MEDICAL CENTER,81 MDG 301 Fisher St. Suite 109,2800 MAIN ST,BRIDGEPORT,Biloxi,CT,MS
468235,-1.5123128987712966,PROFESSIONAL HOSPITAL GUAYNABO INC,DEACONESS HOSPITAL INC,AVE LAS CUMBRES ST 199KM 1 2,600 MARY ST,EVANSVILLE,ALT DE SANTA,IN,PR
503401,-1.5072568272034979,HOSPITAL METROPOLITANO SAN GERMAN,SCRIPPS MERCY HOSPITAL,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,4077 5TH AVE,SAN DIEGO,SAN GERMAN,CA,PR
426706,-1.4725332391704447,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,DEACONESS HOSPITAL INC,9 PEQUIGNOT DR,600 MARY ST,EVANSVILLE,PIERCETON,IN,IN
221628,-1.44180008993476,LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,THE MEDICAL CENTER AT ALBANY,725 WELCH ROAD,723 BURKESVILLE ROAD,ALBANY,PALO ALTO,KY,CA
307937,-1.4386274125360996,HOSPITAL METROPOLITANO DR TITO MATTEI,WHEELING HOSPITAL,ROAD 128 KM 1.0,1 MEDICAL PARK,WHEELING,YAUCO,WV,PR
389537,-1.431155651926902,HOSPITAL SAN CARLOS BORROMEO,MERCY SAN JUAN MEDICAL CENTER,CALLE CONCEPCION VERA AYALA #550 S,6501 COYLE AVE,CARMICHAEL,MOCA,CA,PR
215782,-1.4242557913650482,"PEAK BEHAVIORAL HEALTH SERVICES, LLC",ST VINCENT HOSPITAL & HEALTH SERVICES,"5065 MCNUTT ROAD (BLDG'S B, C & D)",2001 W 86TH ST,INDIANAPOLIS,SANTA TERESA,IN,NM
272158,-1.4163277285591156,HIMA SAN PABLO CUPEY,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,CARR 844 KM 5 CUPEY BAJO,2425 GEARY BLVD,SAN FRANCISCO,SAN JUAN,CA,PR
140244,-1.40602805996485,1st Medical Group (Langley AFB),ST MARY'S MEDICAL CENTER,633 MDG 77 Nealy Ave,3700 WASHINGTON AVE,EVANSVILLE,Langley,IN,VA
208803,-1.3829257873664125,MENNONITE GENERAL HOSPITAL INC,MERCY GENERAL HOSPITAL,CALLE JOSE C VASQUEZ BO. CAONILLAS,4001 J ST,SACRAMENTO,AIBONITO,CA,PR
305790,-1.379848963804534,"HOSPITAL PAVIA HATO REY, INC",MARINA DEL REY HOSPITAL,AVE PONCE DE LEON 435,4650 LINCOLN BLVD,MARINA DEL REY,HATO REY,CA,PR
376818,-1.3734302014795736,"ASOCIACION HOSPITAL DEL MAESTRO, INC",GRAHAM HOSPITAL ASSOCIATION,SERGIO CUEVAS BUSTAMANTE STREET 550,210 WEST WALNUT STREET,CANTON,SAN JUAN,IL,PR
49780,-1.3713610687915525,"ROY LESTER SCHNEIDER HOSPITAL,THE","WASHINGTON HOSPITAL, THE",9048 SUGAR ESTATE,155 WILSON AVENUE,WASHINGTON,ST THOMAS,PA,VI
377246,-1.3710194634184592,NH Twenty Nine Palms,PALMS WEST HOSPITAL,1145 Sturgis Road,13001 SOUTHERN BLVD,LOXAHATCHEE,Twentynine Palms,FL,CA
244433,-1.3700974922251359,HIMA SAN PABLO-CAGUAS,MERCY SAN JUAN MEDICAL CENTER,AVE LUIS MUNOZ MARIN,6501 COYLE AVE,CARMICHAEL,CAGUAS,CA,PR
55488,-1.3666148866780012,MID HUDSON FORENSIC PSYCHIATRIC CTR,BELLEVUE HOSPITAL CENTER,BOX 158 ROUTE 17M,462 FIRST AVENUE,NEW YORK,NEW HAMPTON,NY,NY
153987,-1.3635716258980703,Bayne-Jones ACH (Ft Polk),JONES MEMORIAL HOSPITAL,1585 3rd Street Fort Polk,191 NORTH MAIN STREET,WELLSVILLE,Fort Polk,NY,LA
308726,-1.3486563597159908,HOSPITAL HERMANOS MELENDEZ INC,FRISBIE MEMORIAL HOSPITAL,CARRETERA #2 KM 11 7,11 WHITEHALL ROAD,ROCHESTER,BAYAMON,NH,PR
569732,-1.3459897935452068,Evans ACH (FT Carson),CARSON TAHOE REGIONAL MEDICAL CENTER,Fort Carson MEDDAC 1650 Cochrane Circle Fort Carson,1600 MEDICAL PARKWAY,CARSON CITY,Fort Carson,NV,CO
90209,-1.319216481638274,"DOCTORS' CENTER HOSPITAL, INC",NORTHWEST MEDICAL CENTER,"MARGINAL CARRETERA NO 2, KM 47 7",2801 N STATE RD 7,MARGATE,MANATI,FL,PR
364834,-1.3134356438206045,WHITFIELD MEDICAL SURGICAL HOSPITAL,"HEALTHALLIANCE HOSPITALS, INC","3550 HWY 468 W, BLDG 60",60 HOSPITAL ROAD,LEOMINSTER,WHITFIELD,MA,MS
312523,-1.3070797112729609,LIFEBRITE COMMUNITY HOSPITAL OF STOKES,DANBURY HOSPITAL,1570 NC 8 & 89 HWY NORTH,24 HOSPITAL AVE,DANBURY,DANBURY,CT,NC
165779,-1.3045735524890596,SEATTLE CHILDREN'S HOSPITAL,UNIVERSITY OF WASHINGTON MEDICAL CTR,"4800 SAND POINT WAY NE, PO BOX C-5371",1959 NE PACIFIC ST  BOX 356151,SEATTLE,SEATTLE,WA,WA
459058,-1.3030411876505057,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,MEMORIAL HOSPITAL,"5680 FRISCO SQUARE BLVD, SUITE 3000",1204 MOUND ST,NACOGDOCHES,FRISCO,TX,TX
484511,-1.3022488172520421,MARTHA'S VINEYARD HOSPITAL INC,"HEALTHALLIANCE HOSPITALS, INC","ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477",60 HOSPITAL ROAD,LEOMINSTER,OAK BLUFFS,MA,MA
478309,-1.3005983332823432,NORTON SOUND REGIONAL HOSPITAL,HIGHLAND HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),1000 SOUTH AVENUE,ROCHESTER,NOME,NY,AK
200907,-1.3002487862020755,SEVEN HILLS BEHAVIORAL INSTITUTE,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3021 W HORIZON RIDGE PKWY,3001 ST ROSE PARKWAY,HENDERSON,HENDERSON,NV,NV
195739,-1.3002304920621153,PREMIER SURGICAL INSTITUTE,MCPHERSON HOSPITAL INC,1619 K 66,1000 HOSPITAL DRIVE,MCPHERSON,GALENA,KS,KS
319964,-1.2904173579349063,PHS INDIAN HOSPITAL AT EAGLE BUTTE,LENOIR MEMORIAL HOSPITAL,24276 166TH AIRPORT ROAD,100 AIRPORT RD,KINSTON,EAGLE BUTTE,NC,SD
340304,-1.2768965914166737,60th Medical Group (Travis AFB),GOOD SAMARITAN MEDICAL CENTER,103 Bodin Circle Fairfield,200 EXEMPLA CIRCLE,LAFAYETTE,Fairfield,CO,CA
552548,-1.274875529702193,HOSPITAL GENERAL DE CASTANER,PALMERTON HOSPITAL,CARR 135 KM 64 2,135 LAFAYETTE AVENUE,PALMERTON,CASTANER,PA,PR
366429,-1.271422270202941,HIMA SAN PABLO HUMACAO,MERCY SAN JUAN MEDICAL CENTER,CALLE FONT MARTELO #3,6501 COYLE AVE,CARMICHAEL,HUMACAO,CA,PR
9766,-1.2656881363415515,Darnall AMC (FT Hood),TIMBERLANDS HOSPITAL,36000 Darnall Loop,1100 E LOOP 304,CROCKETT,Fort Hood,TX,TX
46494,-1.2507214620482026,METROPOLITAN HOSPITAL,UNM HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,2211 LOMAS BOULEVARD NE,ALBUQUERQUE,SAN JUAN,NM,PR
446011,-1.245536496540876,HIMA SAN PABLO BAYAMON,MERCY SAN JUAN MEDICAL CENTER,70 CALLE SANTA CRUZ,6501 COYLE AVE,CARMICHAEL,BAYAMON,CA,PR
29537,-1.235796428537743,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC","HEALTHALLIANCE HOSPITALS, INC",1400 W ICE LAKE ROAD,60 HOSPITAL ROAD,LEOMINSTER,IRON RIVER,MA,MI
318031,-1.2345520879354588,DEPT OF STATE HOSPITALS - METROPOLITAN - PSY,OHIO STATE UNIVERSITY HOSPITALS,11401 S NORWALK BLVD,410 WEST 10TH AVENUE,COLUMBUS,NORWALK,OH,CA
232539,-1.2334817742840427,EMIL J FREIREICH CANCER CENTER,LEONARD J CHABERT MEDICAL CENTER,9201 PINECROFT,1978 INDUSTRIAL BLVD,HOUMA,SHENANDOAH,LA,TX
210636,-1.2328577916202539,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,ST ROSE HOSPITAL,LAUREL AVE SANTA JUANITA #100,27200 CALAROGA AVE,HAYWARD,BAYAMON,CA,PR
515250,-1.2288541534162192,SAGAMORE CHILDREN'S PSYCHIATRIC CENTER,PERRY COMMUNITY HOSPITAL,197 HALF  HOLLOW ROAD,2718 SQUIRREL HOLLOW DRIVE,LINDEN,DIX HILLS,TN,NY
361351,-1.2281632476687037,HALE HO'OLA HAMAKUA,HILO MEDICAL CENTER,45-547 PLUMERIA STREET,1190 WAIANUENUE AVENUE,HILO,HONOKAA,HI,HI
166651,-1.2258583130385823,KAHI MOHALA,PALI MOMI MEDICAL CENTER,91-2301 FORT WEAVER ROAD,98-1079 MOANALUA ROAD,AIEA,EWA BEACH,HI,HI
122075,-1.2241441578134444,HOSPITAL SAN CRISTOBAL,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,CARR 506 KM 1 0,2425 GEARY BLVD,SAN FRANCISCO,COTO LAUREL,CA,PR
64926,-1.213793538317184,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,"UNITED HEALTH SERVICES HOSPITALS, INC",10 NORTH RIVER ROAD,10-42 MITCHELL AVENUE,BINGHAMTON,FORT YATES,NY,ND
292202,-1.210059552633641,GROVER C DILS MEDICAL CENTER,MEMORIAL MEDICAL CENTER,"700 N SPRING ST, BOX 1010-C-ADM BLDG",701 N FIRST ST,SPRINGFIELD,CALIENTE,IL,NV
526833,-1.2072162266366953,HOSPITAL METROPOLITANO DR PILA,PROVIDENCE HEALTH,2435 LAS AMERICAS AVE,2435 FOREST DR,COLUMBIA,PONCE,SC,PR
485166,-1.2055341527247412,WEISMAN CHILDRENS REHABILITATION HOSPITAL,MEMORIAL HOSPITAL OF SALEM COUNTY,"92 BRICK ROAD, 3RD FLOOR",310 WOODSTOWN ROAD,SALEM,MARLTON,NJ,NJ
167709,-1.2028883979775091,ALFRED I DUPONT HOSPITAL FOR CHILDREN,ST FRANCIS HOSPITAL,1600 ROCKLAND RD PO BOX 269,7TH AND CLAYTON STS,WILMINGTON,WILMINGTON,DE,DE
61124,-1.2003751885016987,HAVEN BEHAVIORAL HOSPITAL OF PHILADELPHIA,PENNSYLVANIA HOSPITAL,"3301 SCOTTS LANE, FOUR FALLS BUILDING",800 SPRUCE STREET,PHILADELPHIA,PHILADELPHIA,PA,PA
11099,-1.1987104249010974,RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL,HILLCREST HOSPITAL,11365 DORSETT ROAD,6780 MAYFIELD ROAD,MAYFIELD HEIGHTS,MARYLAND HEIGHTS,OH,MO
117211,-1.197866659069231,Bassett ACH (FT Wainwright),MARY IMOGENE BASSETT HOSPITAL,4076 Neely Road,ONE ATWELL ROAD,COOPERSTOWN,Fort Wainwright,NY,AK
206662,-1.1969354505551213,SAME DAY SURGERY CENTER LLC,"LAKEWAY REGIONAL MEDICAL CENTER, LLC",651 CATHEDRAL DRIVE,100  MEDICAL PARKWAY,LAKEWAY,RAPID CITY,TX,SD
250403,-1.1964339227668546,DOCTORS' CENTER HOSPITAL SAN JUAN,SAN JUAN REGIONAL MEDICAL CENTER,PDA. 20 C/ SAN RAFAEL # 1395,801 WEST MAPLE STREET,FARMINGTON,FERNANDEZ JUNCOS,NM,PR
249888,-1.1929821584194447,ARBOUR HUMAN RESOURCE INSTITUTE,UPMC PASSAVANT,227 BABCOCK STREET,9100 BABCOCK BOULEVARD,PITTSBURGH,BROOKLINE,PA,MA
567632,-1.1897909134075078,CREEDMOOR PSYCHIATRIC CENTER,REGIONAL WEST MEDICAL CENTER,80-45 WINCHESTER BLVD BLDG B,4021 AVE B,SCOTTSBLUFF,QUEENS VILLAGE,NE,NY
359867,-1.1852484069431946,SOUTH BIG HORN COUNTY CRITICAL ACCESS HOSPITAL,CAMPBELL COUNTY MEMORIAL HOSPITAL,388 US HIGHWAY 20 SOUTH,501 SOUTH BURMA AVENUE,GILLETTE,BASIN,WY,WY
540775,-1.18478283198058,Womack AMC (FT Bragg),PARK RIDGE HEALTH,2817 Reilly Road,100 HOSPITAL DRIVE,HENDERSONVILLE,Fort Bragg,NC,NC
288409,-1.183494499575176,NH Camp Pendleton,GOOD SAMARITAN MEDICAL CENTER,200 Mercy Circle Camp Pendleton,200 EXEMPLA CIRCLE,LAFAYETTE,Camp Pendleton,CO,CA
566462,-1.1811446542825448,MINIMALLY INVASIVE SURGERY HOSPITAL,MERCY HOSPITAL,11217 LAKEVIEW AVENUE,2215 TRUXTUN AVENUE,BAKERSFIELD,LENEXA,CA,KS
352371,-1.1794256869569568,COLORADO MENTAL HEALTH INSTITUTE AT FT LOGAN,DENVER HEALTH MEDICAL CENTER,3520 W OXFORD AVE,777 BANNOCK ST,DENVER,DENVER,CO,CO
271495,-1.1661294730796352,UNIVERSITY  OF KS HLTH SYSTEM GREAT BEND CAMPUS,MEMORIAL HOSPITAL OF SOUTH BEND,514 CLEVELAND STREET,615 N MICHIGAN ST,SOUTH BEND,GREAT BEND,IN,KS
78601,-1.155359328225009,OCEANS BEHAVIORAL  HOSPITAL OF PERMIAN BASIN,MEDICAL CENTER OF ARLINGTON,3300 S FM 1788,3301 MATLOCK ROAD,ARLINGTON,MIDLAND,TX,TX
68936,-1.152351680947163,MOUNT DESERT ISLAND HOSPITAL,EASTERN MAINE MEDICAL CENTER,"10 WAYMAN LANE, PO BOX 8",PO BOX 404,BANGOR,BAR HARBOR,ME,ME
71556,-1.1509787963226201,NORTHWEST CENTER FOR BEHAVIORAL HEALTH (NCBH),UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,1 MILE EAST US HIGHWAY 270,11937 US HIGHWAY 271,TYLER,FORT SUPPLY,TX,OK
32970,-1.1506369454298069,ASCENSION SETON EDGAR B DAVIS,SETON NORTHWEST HOSPITAL,130 HAYS STREET,11113 RESEARCH BOULEVARD,AUSTIN,LULING,TX,TX
283146,-1.1499940107800903,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON,HOUSTON METHODIST HOSPITAL,4301 B VISTA,6565 FANNIN,HOUSTON,PASADENA,TX,TX
411889,-1.1489905667668134,NORTH BIG HORN HOSPITAL DISTRICT,DISTRICT ONE HOSPITAL,1115 LANE 12,200 STATE AVENUE,FARIBAULT,LOVELL,MN,WY
211737,-1.1422402474242206,ANCORA PSYCH HOSP,MORRISTOWN MEDICAL CENTER,ANCORA BRANCH,100 MADISON AVE,MORRISTOWN,HAMMONTON,NJ,NJ
63893,-1.136623229219751,HIMA-SAN PABLO FAJARDO,LAWRENCE GENERAL HOSPITAL,GENERAL VALERO AVE#404,ONE GENERAL STREET,LAWRENCE,FAJARDO,MA,PR
389086,-1.1350789292946828,Martin ACH (FT Benning),ST ELIZABETH FT THOMAS,7950 Martin Loop,85 NORTH GRAND AVENUE,FORT THOMAS,Fort Benning,KY,GA
500761,-1.1343012321108479,TEXAS CENTER FOR INFECTIOUS DISEASE,UNIVERSITY HEALTH SYSTEM,2303 SE MILITARY DR P O BOX 23340,4502 MEDICAL DR,SAN ANTONIO,SAN ANTONIO,TX,TX
71423,-1.1328905738458803,DEL AMO HOSPITAL,TORRANCE MEMORIAL MEDICAL CENTER,23700 CAMINO DEL SOL,3330 LOMITA BLVD,TORRANCE,TORRANCE,CA,CA
384825,-1.1301623420220324,RUSK STATE HOSP,BAPTIST MEDICAL CENTER JACKSONVILLE,805 N DICKINSON DR,800 PRUDENTIAL DR,JACKSONVILLE,RUSK,FL,TX
142632,-1.130033431647911,THOMAS B FINAN CENTER,MONONGAHELA VALLEY HOSPITAL,"10102 COUNTRY CLUB ROAD,  POST OFFICE BOX 1722",1163 COUNTRY CLUB ROAD,MONONGAHELA,CUMBERLAND,PA,MD
19631,-1.129552674292052,DEPT OF STATE HOSPITALS - NAPA,QUEEN OF THE VALLEY MEDICAL CENTER,2100 NAPA-VALLEJO HIGHWAY,1000 TRANCAS ST,NAPA,NAPA,CA,CA
368069,-1.1293471986618726,CRETE AREA MEDICAL CENTER,REGIONAL WEST MEDICAL CENTER,"P O BOX 220, 2910 BETTEN DR",4021 AVE B,SCOTTSBLUFF,CRETE,NE,NE
51411,-1.128996960244103,CROWNPOINT HEALTHCARE FACILITY,"MEMORIAL HEALTHCARE SYSTEM, INC",JUNCTION OF HWY 371,2525 DESALES AVE,CHATTANOOGA,CROWNPOINT,TN,NM
337115,-1.1262625264057955,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,"225 E CHICAGO AVE, BOX 140",5841 SOUTH MARYLAND,CHICAGO,CHICAGO,IL,IL
380714,-1.125949973424097,GEORGE C GRAPE COMMUNITY HOSPITAL,FORREST GENERAL HOSPITAL,2959 US HIGHWAY 275,6051 US HIGHWAY 49,HATTIESBURG,HAMBURG,MS,IA
414133,-1.1228315695488986,J D MCCARTY CENTER FOR CHILDREN,O U MEDICAL CENTER,2002  EAST ROBINSON,700 NE 13TH STREET,OKLAHOMA CITY,NORMAN,OK,OK
425705,-1.1213835109483228,ATRIUM HEALTH KINGS MOUNTAIN,ORLANDO HEALTH,706 W KING ST,52 W UNDERWOOD ST,ORLANDO,KINGS MOUNTAIN,FL,NC
560105,-1.116213430086924,CLIFTON FINE HOSPITAL,CLIFTON SPRINGS HOSPITAL AND CLINIC,1014 OSWEGATCHIE TRAIL,2 COULTER ROAD,CLIFTON SPRINGS,STAR LAKE,NY,NY
265667,-1.1149914001167738,SGMC LANIER CAMPUS,ABRAZO WEST CAMPUS,116 WEST THIGPEN AVENUE,13677 WEST MCDOWELL ROAD,GOODYEAR,LAKELAND,AZ,GA
317323,-1.1145371142627982,ALLIANCE HEALTHCARE SYSTEM,CLAY COUNTY HOSPITAL,1430 HIGHWAY 4 EAST / P O BOX 6000,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,HOLLY SPRINGS,AL,MS
146084,-1.1137617898905308,ASPEN HILLS HEALTHCARE CENTER,ST FRANCIS MEDICAL CENTER,600 PEMBERTON-BROWNS MILLS ROAD,601 HAMILTON AVE,TRENTON,PEMBERTON,NJ,NJ
554353,-1.112454672979505,SEARHC WRANGELL MEDICAL CENTER-CAH,EASTERN MAINE MEDICAL CENTER,310 BENNETT STREET PO BOX 1081,PO BOX 404,BANGOR,WRANGELL,ME,AK
